vegetarian,vegan,gluten_free,dairy_free,ready_in_minutes,servings,calories,protein,carbs,fat,ingredients_applesauce,ingredients_baking,ingredients_bananas,ingredients_butter,ingredients_candy,ingredients_cheese,ingredients_chips,ingredients_chocolate,ingredients_cookies,ingredients_corn,ingredients_cream,ingredients_creamy,ingredients_cups,ingredients_extract,ingredients_eyes,ingredients_flavor,ingredients_icing,ingredients_milk,ingredients_nuts,ingredients_oatmeal,ingredients_oreo,ingredients_peanut,ingredients_pistachios,ingredients_powder,ingredients_protein,ingredients_ricotta,ingredients_salt,ingredients_semi,ingredients_shortening,ingredients_sugar,ingredients_unsweetened,ingredients_vanilla,dish_types_breakfast,dish_types_brunch,dish_types_dessert,dish_types_meal,dish_types_morning,diets_dairy,diets_free,diets_gluten,diets_lacto,diets_ovo,diets_vegetarian
0,0,1,1,0.7071067811865466,-0.3349350372529196,-1.3259071808921634,-1.1352866252254026,-1.3763342308571211,-1.3518359608491308,0.22551812816002245,0.0,0.22551812816002245,0.4510362563200449,0.0,0.0,0.22551812816002245,0.1331946393965826,0.0,0.0,0.0,0.22551812816002245,0.0,0.22551812816002245,0.0,0.22551812816002245,0.0,0.0,0.22551812816002245,0.22551812816002245,0.0,0.22551812816002245,0.0,0.22551812816002245,0.22551812816002245,0.0,0.0,0.0,0.22551812816002245,0.0,0.22551812816002245,0.3430246985953182,0.5,0.5,0.0,0.5,0.5,0.5068900148458076,0.7710058432202013,0.38550292161010064,0.0,0.0,0.0
0,0,0,0,-1.4142135623730963,1.3573683088670956,1.0889554809864253,1.2979468172860917,0.9697307205486158,1.035646560351613,0.0,0.26399262498579507,0.0,0.0,0.5279852499715901,0.26399262498579507,0.0,0.15591829701331064,0.26399262498579507,0.26399262498579507,0.26399262498579507,0.0,0.26399262498579507,0.0,0.26399262498579507,0.0,0.26399262498579507,0.0,0.0,0.0,0.26399262498579507,0.0,0.0,0.0,0.0,0.0,0.0,0.26399262498579507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,1,0,0.7071067811865466,-1.0224332716141757,0.2369516999057378,-0.16266019206068916,0.4066035103085057,0.31618940049751715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24259369753845733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4107468350088512,0.0,0.0,0.0,0.0,0.4107468350088512,0.0,0.0,0.4107468350088512,0.4107468350088512,0.0,0.0,0.4107468350088512,0.0,0.31238355521006117,0.0,0.0,1.0,0.0,0.0,0.0,0.3730219858594306,0.3730219858594306,0.49047908420610337,0.49047908420610337,0.49047908420610337
